URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://futari-no-torisetsu.com/compatibility,36.93,9,14138,0,0,6,0,0,0,0,14131,0,0,0,14138,,mbti 相性,Informational,0
https://futari-no-torisetsu.com/personality,28.69,8,10985,0,0,5,0,0,0,0,10880,0,0,0,10985,,mbti 一覧,Informational,0
https://futari-no-torisetsu.com/love-type/chuken-hachiko,3.27,3,1255,0,0,3,0,0,0,0,1255,0,0,0,1255,,ラブタイプ 忠犬ハチ公,Informational,0
https://futari-no-torisetsu.com/love-type/chakkari-usagi,3.21,3,1229,0,0,3,0,0,0,0,1229,0,0,0,1229,,ちゃっかりうさぎ,Informational,0
https://futari-no-torisetsu.com/love-type/akogare-senpai,2.96,2,1135,0,0,2,0,0,0,0,1135,0,0,0,1135,,憧れ の 先輩,Informational,0
https://futari-no-torisetsu.com/love-type/tsundere-yankee,2.51,3,963,0,0,3,0,0,0,0,963,0,0,0,963,,ツンデレヤンキー,Informational,0
https://futari-no-torisetsu.com/compatibility/love,2.24,5,859,0,0,3,0,0,0,0,652,0,0,0,674,,恋愛mbti 相性,Informational,0
https://futari-no-torisetsu.com/compatibility/intp-intp,2.16,2,827,0,0,1,0,0,0,0,827,0,0,0,827,,intp 相性,Informational,0
https://futari-no-torisetsu.com/love-type/renai-monster,2.15,1,825,0,0,1,0,0,0,0,825,0,0,0,825,,恋愛 モンスター,Informational,0
https://futari-no-torisetsu.com/love-type/binwan-manager,2.12,1,813,0,0,1,0,0,0,0,813,0,0,0,813,,敏腕マネージャー,Informational,0
https://futari-no-torisetsu.com/,2.11,63,810,0,3,9,0,0,0,0,581,0,0,0,-4576,search-gpt,16 タイプ 診断 相性,Informational,2
https://futari-no-torisetsu.com/love-type/devil-tenshi,2.01,1,770,0,0,1,0,0,0,0,770,0,0,0,770,,デビル 天使,Informational,0
https://futari-no-torisetsu.com/compatibility/entj,1.74,4,669,0,1,3,0,0,0,6,663,0,0,0,669,,entj 相性,Informational,0
https://futari-no-torisetsu.com/compatibility/enfp-enfp,0.9,2,346,0,0,2,0,0,0,0,346,0,0,0,346,,運動家 相性,Informational,0
https://futari-no-torisetsu.com/love-type/chakkari-usagi/compatibility,0.77,1,297,0,0,1,0,0,0,0,297,0,0,0,297,,ちゃっかりうさぎ 相性,Informational,0
https://futari-no-torisetsu.com/personality/isfp,0.58,13,224,0,0,1,0,0,0,0,121,0,0,0,224,,isfp 性格,Informational,0
