Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
mbti キャラ,1,1,8100,18,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,3807,7.94,0.00,0.33,168,"82, 100, 82, 82, 67, 67, 67, 55, 55, 55, 67, 55",2026-08-15,"Image pack, Video, People also ask, Related searches",informational,Organic
鬼 滅 の 刃 mbti,1,1,6600,33,0.00,https://character-seikaku.memo.wiki/d/%B5%B4%CC%C7%A4%CE%BF%CF,3102,6.47,0.00,0.33,114,"100, 100, 45, 20, 13, 11, 11, 9, 9, 9, 9, 7",2026-08-13,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
infp キャラ,1,1,3600,21,0.00,https://character-seikaku.memo.wiki/d/INFP%A1%CA%A5%D2%A1%BC%A5%E9%A1%BC%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1692,3.53,0.00,0.33,142,"100, 100, 100, 82, 82, 66, 82, 66, 55, 66, 82, 66",2026-07-06,"Image pack, Video, People also ask, Related searches",informational,Organic
ハイキュー mbti,1,1,3600,18,0.00,https://character-seikaku.memo.wiki/d/%A5%CF%A5%A4%A5%AD%A5%E5%A1%BC%21%21,1692,3.53,0.00,0.33,65,"100, 100, 100, 82, 66, 100, 82, 66, 55, 55, 43, 55",2026-07-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
intj キャラ,1,1,3600,29,0.00,https://character-seikaku.memo.wiki/d/INTJ%A1%CA%CE%A9%B0%C6%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1692,3.53,0.00,0.33,156,"82, 82, 100, 82, 82, 82, 82, 82, 66, 82, 82, 82",2026-07-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
intp キャラ,1,1,3600,29,0.00,https://character-seikaku.memo.wiki/d/INTP%A1%CA%B7%FA%C3%DB%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1692,3.53,0.00,0.33,152,"100, 100, 100, 82, 82, 82, 82, 66, 66, 82, 82, 82",2026-07-07,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
entp キャラ,1,1,3600,21,0.00,https://character-seikaku.memo.wiki/d/ENTP%A1%CA%C8%AF%CC%C0%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1692,3.53,0.00,0.33,156,"100, 100, 100, 82, 66, 66, 82, 82, 66, 66, 66, 82",2026-07-06,"Image pack, Video, People also ask, Related searches",informational,Organic
enfp キャラ,1,1,2900,34,0.00,https://character-seikaku.memo.wiki/d/ENFP%A1%CA%CD%CA%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1363,2.84,0.00,0.33,150,"100, 82, 100, 82, 66, 66, 66, 55, 55, 55, 66, 66",2026-07-05,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
istp キャラクター,1,1,2900,28,0.00,https://character-seikaku.memo.wiki/d/ISTP%A1%CA%B5%BB%C7%BD%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1363,2.84,0.00,0.33,144,"100, 100, 100, 81, 67, 67, 81, 67, 67, 67, 67, 67",2026-07-06,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
istp キャラ,1,1,2900,20,0.00,https://character-seikaku.memo.wiki/d/ISTP%A1%CA%B5%BB%C7%BD%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1363,2.84,0.00,0.33,145,"100, 100, 100, 81, 67, 67, 81, 67, 67, 67, 67, 67",2026-07-06,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
ハンター ハンター mbti,1,1,2400,25,0.00,https://character-seikaku.memo.wiki/d/HUNTER%A1%DFHUNTER,1128,2.35,0.00,0.33,104,"83, 100, 100, 83, 83, 83, 83, 83, 66, 66, 55, 83",2026-07-07,"Video, People also ask, Related searches",informational,Organic
ヒロアカ mbti,1,1,2400,26,0.00,https://character-seikaku.memo.wiki/d/%CB%CD%A4%CE%A5%D2%A1%BC%A5%ED%A1%BC%A5%A2%A5%AB%A5%C7%A5%DF%A5%A2,1128,2.35,0.00,0.33,105,"55, 66, 43, 66, 66, 100, 55, 43, 36, 43, 55, 36",2026-07-26,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
enfj キャラ,1,1,1900,22,0.00,https://character-seikaku.memo.wiki/d/ENFJ%A1%CA%B6%B5%BB%D5%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,893,1.86,0.00,0.33,165,"100, 100, 100, 83, 66, 66, 66, 55, 55, 66, 66, 66",2026-07-07,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
キャラ mbti,1,1,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,752,1.56,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
銀魂 mbti,1,1,1600,17,0.00,https://character-seikaku.memo.wiki/d/%B6%E4%BA%B2,752,1.56,0.00,0.33,103,"54, 54, 67, 54, 79, 67, 67, 67, 100, 100, 79, 67",2026-07-13,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
entj キャラ,1,1,1600,20,0.00,https://character-seikaku.memo.wiki/d/ENTJ%A1%CA%B8%B5%BF%E3%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,752,1.56,0.00,0.33,162,"100, 100, 100, 100, 84, 84, 84, 84, 84, 84, 84, 100",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
ジョジョ mbti,1,1,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%B8%A5%E7%A5%B8%A5%E7%A4%CE%B4%F1%CC%AF%A4%CA%CB%C1%B8%B1%A1%A1%C2%E8%A3%B1%C9%F4%A1%A1%A5%D5%A5%A1%A5%F3%A5%C8%A5%E0%A5%D6%A5%E9%A5%C3%A5%C9,752,1.56,0.00,0.33,107,"84, 68, 68, 68, 84, 84, 68, 84, 84, 100, 100, 84",2026-07-08,"Image pack, Video, Image, People also ask, Related searches, Short videos",informational,Organic
コナン mbti,1,1,1600,21,0.00,https://character-seikaku.memo.wiki/d/%CC%BE%C3%B5%C4%E5%A5%B3%A5%CA%A5%F3,752,1.56,0.00,0.33,106,"81, 44, 36, 28, 24, 24, 24, 36, 20, 36, 100, 81",2026-07-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
キャラクター mbti,1,1,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,752,1.56,0.00,0.33,156,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
infj キャラ,2,2,5400,29,0.00,https://character-seikaku.memo.wiki/d/INFJ%A1%CA%A5%AB%A5%A6%A5%F3%A5%BB%A5%E9%A1%BC%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,702,1.46,0.00,0.33,164,"100, 100, 82, 82, 82, 82, 67, 67, 67, 67, 67, 67",2026-08-06,"Image pack, Video, People also ask, Related searches",informational,Organic
estp キャラ,1,1,1300,15,0.00,https://character-seikaku.memo.wiki/d/ESTP%A1%CA%B5%AF%B6%C8%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,611,1.27,0.00,0.33,68,"100, 100, 100, 100, 77, 68, 100, 77, 77, 100, 100, 100",2026-07-14,"Image pack, People also ask, Related searches",informational,Organic
esfp キャラ,1,1,1300,21,0.00,https://character-seikaku.memo.wiki/d/ESFP%A1%CA%B1%E9%B5%BB%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,611,1.27,0.00,0.33,150,"100, 84, 84, 68, 53, 53, 68, 53, 53, 53, 53, 53",2026-07-09,"Image pack, Video, People also ask, Related searches",informational,Organic
クレヨン しんちゃん mbti,1,1,1300,16,0.00,https://character-seikaku.memo.wiki/d/%A5%AF%A5%EC%A5%E8%A5%F3%A4%B7%A4%F3%A4%C1%A4%E3%A4%F3,611,1.27,0.00,0.01,10,"84, 100, 84, 53, 53, 68, 53, 53, 53, 53, 68, 38",2026-07-25,"Image pack, People also ask, Related searches",informational,Organic
istj キャラ,1,1,1300,17,0.00,https://character-seikaku.memo.wiki/d/ISTJ%A1%CA%B8%A1%BA%BA%B4%B1%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,611,1.27,0.00,0.33,128,"100, 100, 100, 81, 81, 81, 100, 81, 62, 81, 81, 81",2026-07-06,"Image pack, Image, People also ask, Related searches",informational,Organic
ナルト mbti,1,1,1300,13,0.00,https://character-seikaku.memo.wiki/d/NARUTO,611,1.27,0.00,0.33,109,"100, 81, 81, 81, 62, 62, 81, 100, 81, 62, 81, 81",2026-07-05,"Image pack, Video, People also ask, Related searches",informational,Organic
esfj キャラ,1,1,1300,19,0.00,https://character-seikaku.memo.wiki/d/ESFJ%A1%CA%C9%DE%CD%DC%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,611,1.27,0.00,0.33,153,"100, 100, 100, 81, 62, 62, 81, 81, 62, 62, 81, 81",2026-07-06,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
ポケモン mbti,1,1,1300,22,0.00,https://character-seikaku.memo.wiki/d/%A5%DD%A5%B1%A5%C3%A5%C8%A5%E2%A5%F3%A5%B9%A5%BF%A1%BC%A1%CA%B8%B6%BA%EE%A1%CB,611,1.27,0.00,0.33,109,"37, 37, 37, 37, 67, 67, 67, 37, 30, 37, 100, 42",2026-07-19,"Image pack, Sitelinks, Video, Image, Related searches, Short videos",informational,Organic
ドラえもん mbti,1,1,1000,33,0.00,https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A4%A8%A4%E2%A4%F3,470,0.98,0.00,0.33,103,"100, 100, 100, 77, 68, 77, 77, 77, 77, 100, 77, 68",2026-07-08,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
estj キャラ,1,1,1000,17,0.00,https://character-seikaku.memo.wiki/d/ESTJ%A1%CA%B4%C6%C6%C4%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,470,0.98,0.00,0.33,133,"100, 100, 100, 88, 88, 100, 88, 88, 88, 100, 100, 88",2026-07-20,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
ヘタリア mbti,1,1,1000,33,0.00,https://character-seikaku.memo.wiki/d/Axis%20Powers%20%A5%D8%A5%BF%A5%EA%A5%A2,470,0.98,0.00,0.33,104,"81, 100, 100, 62, 62, 62, 62, 81, 55, 62, 62, 62",2026-07-04,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
刀剣 乱舞 mbti,1,1,880,33,0.00,https://character-seikaku.memo.wiki/d/%C5%E1%B7%F5%CD%F0%C9%F1,413,0.86,0.00,0.33,103,"62, 100, 62, 45, 55, 62, 62, 55, 55, 55, 45, 37",2026-07-29,"Image pack, Video, People also ask, Related searches",informational,Organic
isfj アニメ キャラ,1,1,880,18,0.00,https://character-seikaku.memo.wiki/d/ISFJ%A1%CA%BC%E9%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,413,0.86,0.00,0.33,132,"88, 100, 100, 88, 72, 72, 88, 88, 72, 72, 72, 88",2026-07-13,"Image pack, Video, People also ask, Related searches",informational,Organic
isfj キャラ,1,1,880,27,0.00,https://character-seikaku.memo.wiki/d/ISFJ%A1%CA%BC%E9%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,413,0.86,0.00,0,149,"88, 100, 100, 88, 88, 72, 72, 72, 72, 59, 88, 88",2026-07-25,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
isfp キャラ,1,1,720,16,0.00,https://character-seikaku.memo.wiki/d/ISFP%A1%CA%BA%EE%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,338,0.7,0.00,0,92,"59, 72, 72, 72, 72, 72, 88, 88, 88, 100, 88, 88",2026-07-31,"Image pack, People also ask, Related searches",informational,Organic
mbti 診断 キャラ,1,1,720,18,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,338,0.7,0.00,0.33,95,"88, 72, 100, 100, 88, 59, 59, 59, 59, 48, 48, 72",2026-07-07,"Image pack, Sitelinks, People also ask, Related searches",informational,Organic
プリキュア mbti,1,1,720,16,0.00,https://character-seikaku.memo.wiki/d/%A5%D7%A5%EA%A5%AD%A5%E5%A5%A2%A5%AA%A1%BC%A5%EB%A5%B9%A5%BF%A1%BC%A5%BA,338,0.7,0.00,0.33,106,"88, 72, 72, 59, 48, 48, 72, 100, 72, 72, 59, 48",2026-08-08,"Image pack, Image, People also ask, Related searches",informational,Organic
ワンピース mbti,3,3,3600,29,0.00,https://character-seikaku.memo.wiki/d/%A5%EF%A5%F3%A5%D4%A1%BC%A5%B9,324,0.67,0.00,0.33,160,"100, 81, 81, 67, 67, 81, 54, 67, 44, 67, 67, 67",2026-07-02,"Image pack, Featured snippet, Image, Related searches",informational,Organic
mbti アニメ,1,1,590,24,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,277,0.57,0.00,0.33,130,"100, 100, 82, 82, 55, 55, 55, 55, 82, 82, 55, 55",2026-06-26,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
アニメ mbti,1,1,590,16,0.00,https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,277,0.57,0.00,0.33,133,"100, 100, 82, 82, 82, 67, 82, 67, 67, 67, 67, 54",2026-08-14,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
ドラゴンボール mbti,1,1,590,16,0.00,https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A5%B4%A5%F3%A5%DC%A1%BC%A5%EB,277,0.57,0.00,0.33,105,"100, 100, 82, 55, 55, 82, 67, 67, 67, 67, 67, 55",2026-07-24,"Sitelinks, Video, People also ask, Related searches",informational,Organic
infp アニメ キャラ,2,2,1900,27,0.00,https://character-seikaku.memo.wiki/d/INFP%A1%CA%A5%D2%A1%BC%A5%E9%A1%BC%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,247,0.51,0.00,0.33,137,"100, 83, 66, 66, 66, 66, 66, 55, 55, 55, 66, 55",2026-07-25,"Image pack, Video, People also ask, Related searches, Short videos",informational,Organic
bleach mbti,1,1,480,12,0.00,https://character-seikaku.memo.wiki/d/BLEACH,225,0.46,0.00,0.33,106,"67, 54, 54, 44, 54, 54, 100, 44, 54, 82, 67, 54",2026-08-07,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
東方 mbti,1,1,480,24,0.00,https://character-seikaku.memo.wiki/d/%C5%EC%CA%FDproject,225,0.46,0.00,0.33,101,"100, 100, 100, 81, 81, 66, 66, 66, 66, 81, 81, 66",2026-07-28,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
fate mbti,1,1,480,16,0.00,https://character-seikaku.memo.wiki/d/Fate/stay%20night,225,0.46,0.00,0.33,109,"44, 36, 82, 55, 44, 55, 100, 55, 36, 36, 30, 30",2026-08-15,"Image pack, Video, People also ask, Related searches",informational,Organic
fgo mbti,1,1,480,31,0.00,https://character-seikaku.memo.wiki/d/Fate/Grand%20Order,225,0.46,0.00,0.33,108,"54, 67, 100, 82, 82, 54, 82, 67, 44, 44, 54, 54",2026-07-14,"Image pack, People also ask, Related searches",informational,Organic
キャラ mbti,2,2,1600,17,0.00,https://character-seikaku.memo.wiki/d/%BA%EE%C9%CA%B0%EC%CD%F7,208,0.43,0.00,0.33,157,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, People also ask, Related searches",informational,Organic
キャラクター mbti,2,2,1600,17,0.00,https://character-seikaku.memo.wiki/d/%BA%EE%C9%CA%B0%EC%CD%F7,208,0.43,0.00,0.33,156,"67, 67, 100, 79, 67, 54, 67, 67, 54, 54, 67, 67",2026-07-08,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
クラピカ mbti,1,1,390,23,0.00,https://character-seikaku.memo.wiki/d/HUNTER%A1%DFHUNTER,183,0.38,0.00,0.33,46,"54, 66, 54, 54, 66, 66, 66, 54, 54, 66, 100, 100",2026-07-22,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
サザエ さん mbti,1,1,390,21,0.00,https://character-seikaku.memo.wiki/d/%A5%B5%A5%B6%A5%A8%A4%B5%A4%F3,183,0.38,0.00,0.33,103,"100, 100, 81, 67, 81, 81, 81, 54, 54, 81, 67, 67",2026-07-28,"Image pack, Sitelinks, Image, People also ask, Related searches, Short videos",informational,Organic
ハリー ポッター mbti,2,2,1300,32,0.00,https://character-seikaku.memo.wiki/d/%A5%CF%A5%EA%A1%BC%A1%A6%A5%DD%A5%C3%A5%BF%A1%BC%A5%B7%A5%EA%A1%BC%A5%BA,169,0.35,0.00,0.33,121,"100, 81, 100, 81, 81, 100, 100, 81, 62, 62, 81, 81",2026-07-18,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
mbti ワンピース,1,1,1300,19,0.00,https://character-seikaku.memo.wiki/d/%A5%EF%A5%F3%A5%D4%A1%BC%A5%B9,169,0.35,0.00,0.33,154,"100, 100, 100, 100, 81, 81, 62, 62, 55, 55, 55, 55",2026-07-08,"Image pack, Sitelinks, Image, Related searches",informational,Organic
ブリーチ mbti,1,1,320,11,0.00,https://character-seikaku.memo.wiki/d/BLEACH,150,0.31,0.00,0.33,20,"100, 82, 67, 82, 82, 82, 100, 67, 67, 100, 100, 67",2026-07-24,"Image pack, People also ask, Related searches",informational,Organic
enfp isfp,3,3,2900,17,0.00,https://character-seikaku.memo.wiki/d/ISFP-ENFP,145,0.3,0.00,0.33,98,"100, 100, 100, 82, 82, 66, 55, 55, 43, 55, 55, 66",2026-07-07,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
キャラクター 性格 診断,3,3,1600,27,0.00,https://character-seikaku.memo.wiki/,144,0.3,0.00,0.01,115,"67, 54, 67, 100, 67, 54, 54, 67, 54, 42, 54, 54",2026-07-14,"Image pack, Video, Related searches",informational,Organic
エニアグラム キャラクター,1,1,260,14,0.00,https://character-seikaku.memo.wiki/d/%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0,122,0.25,0.00,0.33,164,"82, 100, 82, 67, 67, 67, 67, 44, 44, 67, 54, 54",2026-08-14,"Image pack, People also ask, Related searches",informational,Organic
ハウル mbti,1,1,260,16,0.00,https://character-seikaku.memo.wiki/d/%A5%CF%A5%A6%A5%EB%A4%CE%C6%B0%A4%AF%BE%EB,122,0.25,0.00,0.33,106,"67, 81, 54, 54, 44, 29, 44, 44, 44, 81, 100, 54",2026-08-13,"Video, People also ask, Related searches, AI overview",informational,Organic
mbti ハイキュー,1,1,210,15,0.00,https://character-seikaku.memo.wiki/d/%A5%CF%A5%A4%A5%AD%A5%E5%A1%BC%21%21,98,0.2,0.00,0.33,87,"100, 100, 81, 66, 66, 66, 53, 44, 34, 44, 44, 44",2026-08-12,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
文豪 ストレイ ドッグス mbti,1,1,210,22,0.00,https://character-seikaku.memo.wiki/d/%CA%B8%B9%EB%A5%B9%A5%C8%A5%EC%A5%A4%A5%C9%A5%C3%A5%B0%A5%B9,98,0.2,0.00,0.33,97,"81, 100, 81, 53, 66, 66, 100, 81, 66, 66, 53, 44",2026-07-28,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
ハガレン mbti,1,1,210,15,0.00,https://character-seikaku.memo.wiki/d/%B9%DD%A4%CE%CF%A3%B6%E2%BD%D1%BB%D5,98,0.2,0.00,0.33,97,"81, 81, 53, 44, 66, 53, 53, 66, 81, 66, 100, 81",2026-08-07,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic
性格 診断 wiki,1,1,210,26,0.00,https://character-seikaku.memo.wiki/d/%BA%EE%C9%CA%B0%EC%CD%F7,98,0.2,0.00,0.33,108,"100, 100, 100, 81, 81, 100, 81, 65, 81, 65, 65, 35",2026-07-29,"People also ask, Related searches",informational,Organic
トライ タイプ,5,5,1900,8,0.46,https://character-seikaku.memo.wiki/d/%A5%C8%A5%E9%A5%A4%A5%BF%A5%A4%A5%D7%28%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0%29,95,0.19,43.00,0.02,107,"100, 100, 100, 84, 100, 100, 84, 100, 68, 100, 84, 84",2026-07-06,"Image pack, Sitelinks, Related searches",informational,Organic
infj intj,4,4,1900,15,0.00,https://character-seikaku.memo.wiki/d/INFJ-INTJ,95,0.19,0.00,0.33,54,"100, 100, 100, 100, 100, 84, 84, 84, 84, 100, 100, 100",2026-07-18,"People also ask, Related searches, AI overview",informational,Organic
ヒプマイ mbti,2,2,720,30,0.00,https://character-seikaku.memo.wiki/d/%A5%D2%A5%D7%A5%CE%A5%B7%A5%B9%A5%DE%A5%A4%A5%AF-Division%20Rap%20Battle-,93,0.19,0.00,0.33,19,"100, 88, 88, 72, 72, 59, 48, 48, 59, 59, 48, 48",2026-07-27,"Image pack, Video, Related searches",informational,Organic
mbti wiki,3,3,1000,43,0.00,https://character-seikaku.memo.wiki/,90,0.18,0.00,0,20,"45, 45, 45, 55, 62, 62, 62, 100, 81, 62, 62, 55",2026-07-22,"Image pack, People also ask, Related searches",informational,Organic
ジョジョ mbti,4,4,1600,17,0.00,https://character-seikaku.memo.wiki/d/%A5%B8%A5%E7%A5%B8%A5%E7%A4%CE%B4%F1%CC%AF%A4%CA%CB%C1%B8%B1%20%C2%E85%C9%F4%20%B2%AB%B6%E2%A4%CE%C9%F7,80,0.16,0.00,0.33,107,"84, 68, 68, 68, 84, 84, 68, 84, 84, 100, 100, 84",2026-07-08,"Image pack, Video, Image, People also ask, Related searches, Short videos",informational,Organic
リボーン mbti,1,1,170,15,0.00,https://character-seikaku.memo.wiki/d/%B2%C8%C4%ED%B6%B5%BB%D5%A5%D2%A5%C3%A5%C8%A5%DE%A5%F3REBORN%21,79,0.16,0.00,0.33,97,"100, 81, 67, 52, 67, 100, 100, 81, 67, 67, 100, 67",2026-08-10,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
