URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://character-seikaku.memo.wiki/d/%A5%AD%A5%E3%A5%E9%A5%AF%A5%BF%A1%BC%B0%EC%CD%F7%28MBTI%29,13.35,67,6400,0,0,15,0,0,0,0,6399,0,0,0,-41,,mbti キャラ,Informational,0
https://character-seikaku.memo.wiki/d/%B5%B4%CC%C7%A4%CE%BF%CF,6.49,19,3112,0,1,3,0,0,0,2,3102,0,0,0,-13,,鬼 滅 の 刃 mbti,Informational,0
https://character-seikaku.memo.wiki/d/ISTP%A1%CA%B5%BB%C7%BD%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,5.91,8,2835,0,0,5,0,0,0,0,2835,0,0,0,-14,,istp キャラクター,Informational,0
https://character-seikaku.memo.wiki/d/INFP%A1%CA%A5%D2%A1%BC%A5%E9%A1%BC%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,4.07,4,1955,0,0,4,0,0,0,0,1955,0,0,0,-659,,infp キャラ,Informational,0
https://character-seikaku.memo.wiki/d/%A5%CF%A5%A4%A5%AD%A5%E5%A1%BC%21%21,3.74,8,1796,0,0,2,0,0,0,0,1790,0,0,0,0,,ハイキュー mbti,Informational,0
https://character-seikaku.memo.wiki/d/INTP%A1%CA%B7%FA%C3%DB%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,3.69,5,1771,0,0,2,0,0,0,0,1771,0,0,0,68,,intp キャラ,Informational,0
https://character-seikaku.memo.wiki/d/ENTP%A1%CA%C8%AF%CC%C0%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,3.58,15,1718,0,0,2,0,0,0,0,1715,0,0,0,1,,entp キャラ,Informational,0
https://character-seikaku.memo.wiki/d/INTJ%A1%CA%CE%A9%B0%C6%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,3.57,8,1714,0,0,2,0,0,0,0,1714,0,0,0,0,,intj キャラ,Informational,0
https://character-seikaku.memo.wiki/d/ENFP%A1%CA%CD%CA%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,2.84,12,1363,0,0,1,0,0,0,0,1363,0,0,0,0,,enfp キャラ,Informational,0
https://character-seikaku.memo.wiki/d/HUNTER%A1%DFHUNTER,2.77,31,1328,0,0,5,1,0,0,0,1322,0,0,0,34,,ハンター ハンター mbti,Informational,0
https://character-seikaku.memo.wiki/d/%CB%CD%A4%CE%A5%D2%A1%BC%A5%ED%A1%BC%A5%A2%A5%AB%A5%C7%A5%DF%A5%A2,2.38,15,1143,0,2,7,0,0,0,0,1141,0,0,0,-1,,ヒロアカ mbti,Informational,0
https://character-seikaku.memo.wiki/d/ENFJ%A1%CA%B6%B5%BB%D5%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1.88,4,902,0,0,2,0,0,0,0,902,0,0,0,-3,,enfj キャラ,Informational,0
https://character-seikaku.memo.wiki/d/ISFJ%A1%CA%BC%E9%B8%EE%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1.76,14,848,0,0,3,0,0,0,0,826,0,0,0,-23,,isfj キャラ,Informational,0
https://character-seikaku.memo.wiki/d/%CC%BE%C3%B5%C4%E5%A5%B3%A5%CA%A5%F3,1.71,13,821,0,1,5,0,0,0,1,820,0,0,0,-3,,コナン mbti,Informational,0
https://character-seikaku.memo.wiki/d/ENTJ%A1%CA%B8%B5%BF%E3%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1.58,3,761,0,0,1,0,0,0,0,752,0,0,0,9,,entj キャラ,Informational,0
