URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://mbtitypeguide.com/ko/compatibility,82.29,6,1803,0,0,4,0,0,0,0,1803,0,0,0,-1304,,mbti 궁합,Informational,0
https://mbtitypeguide.com/ko/love/infj-infp-compatibility,3.24,4,71,0,0,4,0,0,0,0,71,0,0,0,1,,infp 궁합,Informational,0
https://mbtitypeguide.com/ko/love/entp-intj-compatibility,3.1,8,68,0,0,7,0,0,0,0,68,0,0,0,64,,intj entp,Informational,0
https://mbtitypeguide.com/ko/types/infj,1.5,5,33,0,0,3,0,0,0,0,33,0,0,0,0,,옹호자,Informational,0
https://mbtitypeguide.com/ko/love/entp-infp-golden-pair-challenges,0.82,6,18,0,0,6,0,0,0,0,18,0,0,0,10,,infp entp,Informational,0
https://mbtitypeguide.com/ko/psychology/mbti-rarity-ranking-how-rare-is-your-type,0.77,11,17,0,0,10,0,0,0,0,17,0,0,0,5,"google, google-ai",mbti enfp,Informational,3
https://mbtitypeguide.com/ko/love-compatibility,0.68,1,15,0,0,0,0,0,0,0,0,0,0,0,15,,,,0
https://mbtitypeguide.com/ko/compatibility/esfj-intj,0.59,3,13,0,0,2,0,0,0,0,13,0,0,0,0,,esfj intj,Informational,0
https://mbtitypeguide.com/ko/compatibility/enfp-intj,0.5,3,11,0,0,1,0,0,0,0,11,0,0,0,-6,,enfp intj,Informational,0
https://mbtitypeguide.com/ko/compatibility/enfj-infp,0.5,2,11,0,0,2,0,0,0,0,11,0,0,0,11,,enfj infp,Informational,0
https://mbtitypeguide.com/en/love,0.5,2,11,0,0,2,0,0,0,0,11,0,0,0,0,,mbti in love,Informational,0
https://mbtitypeguide.com/en/love-compatibility,0.45,1,10,0,0,1,0,0,0,0,10,0,0,0,10,,mbti compatibility,Informational,0
https://mbtitypeguide.com/ko/compatibility/entp-intj,0.36,5,8,0,0,1,0,0,0,0,8,0,0,0,-36,,entp intj 궁합,Informational,0
https://mbtitypeguide.com/ko/compatibility/infp-isfp,0.36,5,8,0,0,3,0,0,0,0,8,0,0,0,8,,isfp infp,Informational,0
https://mbtitypeguide.com/ko/compatibility/intp-istj,0.36,3,8,0,0,2,0,0,0,0,8,0,0,0,0,,intp istj,Informational,0
https://mbtitypeguide.com/ko/compatibility/isfj-istj,0.31,2,7,0,0,2,0,0,0,0,7,0,0,0,0,,isfj istj,Informational,0
https://mbtitypeguide.com/ko/compatibility/istj-istj,0.31,2,7,0,0,2,0,0,0,0,7,0,0,0,0,,istj 궁합,Informational,0
https://mbtitypeguide.com/ko/compatibility/infj-istj,0.27,2,6,0,0,2,0,0,0,0,6,0,0,0,4,,infj istj,Informational,0
https://mbtitypeguide.com/ko/psychology/intj-vs-intp-key-differences-thinking,0.27,4,6,0,0,3,0,0,0,0,6,0,0,0,6,,intp intj 차이,Informational,0
https://mbtitypeguide.com/ko/compatibility/infj-isfj,0.27,4,6,0,0,2,0,0,0,0,6,0,0,0,6,,isfj infj 궁합,Informational,0
https://mbtitypeguide.com/ko/compatibility/enfj-isfp,0.27,2,6,0,0,2,0,0,0,0,6,0,0,0,6,,isfp enfj,Informational,0
https://mbtitypeguide.com/ko/love/quiet-logic-longing-intp-infp-bonds,0.27,2,6,0,0,2,0,0,0,0,6,0,0,0,0,,intp infp 연애,Informational,0
https://mbtitypeguide.com/ko/types/isfp,0.22,4,5,0,0,3,0,0,0,0,5,0,0,0,1,google,isfp 캐릭터,Informational,1
https://mbtitypeguide.com/ko/compatibility/enfp-entj,0.18,1,4,0,0,1,0,0,0,0,4,0,0,0,4,,entj enfp,Informational,0
https://mbtitypeguide.com/ko/love/infj-enfp-compatibility,0.18,3,4,0,0,3,0,0,0,0,4,0,0,0,0,,enfp infj,Informational,0
https://mbtitypeguide.com/ko/career/isfj-career-feels-wrong-invisible-labor,0.09,1,2,0,0,1,0,0,0,0,2,0,0,0,0,,isfj 직업,Informational,0
https://mbtitypeguide.com/ko/love/mbti-compatibility-romantic-relationships,0.09,2,2,0,0,1,0,0,0,0,2,0,0,0,2,,mbti 관계,Informational,0
https://mbtitypeguide.com/ko/compatibility/entp-intp,0.09,5,2,0,0,2,0,0,0,0,2,0,0,0,1,,entp intp,Informational,0
https://mbtitypeguide.com/ko/compatibility/entj-infp,0.09,3,2,0,0,2,0,0,0,0,2,0,0,0,0,,entj infp,Informational,0
https://mbtitypeguide.com/ko/career/intp-intelligence-career-sabotage,0.09,1,2,0,0,1,0,0,0,0,2,0,0,0,0,,intp 지능,Informational,0
https://mbtitypeguide.com/ko/love/compatibilite-mbti-relations-amoureuses,0.09,2,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,0
https://mbtitypeguide.com/ko/career,0.09,1,2,0,0,1,0,0,0,0,2,0,0,0,0,,mbti 직업,Informational,0
https://mbtitypeguide.com/ko/compatibility/enfj-intp,0.09,1,2,0,0,1,0,0,0,0,2,0,0,0,0,,enfj intp 궁합,Informational,0
https://mbtitypeguide.com/ko/compatibility/infp-intj,0.04,3,1,0,0,2,0,0,0,0,1,0,0,0,1,,intj infp,Informational,0
https://mbtitypeguide.com/ko/love/infp-enfj-compatibility,0.04,3,1,0,0,2,0,0,0,0,1,0,0,0,-3,,enfj infp,Informational,0
https://mbtitypeguide.com/ko/compatibility/intj-istj,0.04,3,1,0,0,1,0,0,0,0,1,0,0,0,1,,intj istj,Informational,0
https://mbtitypeguide.com/ko/compatibility/intp-istp,0.04,5,1,0,0,1,0,0,0,0,1,0,0,0,-82,,intp istp,Informational,0
https://mbtitypeguide.com/ko/career/mbti-workplace-team-dynamics,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,0
https://mbtitypeguide.com/ko/love/intj-enfp-compatibility,0.04,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/esfj-isfj,0.04,1,1,0,0,1,0,0,0,0,1,0,0,0,0,,esfj isfj 궁합,Informational,0
https://mbtitypeguide.com/ko/types/istp,0.04,2,1,0,0,1,0,0,0,0,1,0,0,0,1,,ispt mbti,Informational,0
https://mbtitypeguide.com/ko/types/intj,0.04,2,1,0,0,1,0,0,0,0,1,0,0,0,0,,mbti intj,Informational,0
https://mbtitypeguide.com/ko/psychology/each-mbti-in-one-sentence,0.04,1,1,0,0,1,0,0,0,0,1,0,0,0,-6,,mbti 요약,Informational,0
https://mbtitypeguide.com/ko/types/entp,0.04,5,1,0,0,1,0,0,0,0,0,0,0,0,1,search-gpt,entp t,Informational,1
https://mbtitypeguide.com/ko/types/isfj,0.04,2,1,0,0,2,0,0,0,0,1,0,0,0,0,,mbti 수호자,Informational,0
https://mbtitypeguide.com/ko/love/enfp-infp-compatibility,0.04,1,1,0,0,1,0,0,0,0,1,0,0,0,0,,infp enfp,Informational,0
https://mbtitypeguide.com/ko/compatibility/entj-estp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/psychology/neuroscience-of-mbti-brain-scans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/enfp-isfj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/types/enfp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/career/dream-career-for-every-mbti-type,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/intj-isfj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/enfj-entj,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,entj enfj,Informational,0
https://mbtitypeguide.com/ko/compatibility/enfp-intp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/intj-intp,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,intj intp 연애,Informational,0
https://mbtitypeguide.com/ko/types/entj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/relationships/fi-si-loop-infp-isfp-relationships,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/infp-isfj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/types/esfj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/estp-infj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/de/psychology/mbti-attack-vs-defense-quadrant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/love/mbti-langages-amour-relation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/intj-isfp,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/personal-growth/isfj-silent-struggle-intuitive-world,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/relationships,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/types/esfp,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,,연예인 mbti,Informational,0
https://mbtitypeguide.com/ko/compatibility/enfp-esfp,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,esfp enfp 차이,Informational,0
https://mbtitypeguide.com/ko/compatibility/esfp-intp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/isfj-isfp,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/intj-istp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/estj-intp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/estj-infj,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,estj infj,Informational,0
https://mbtitypeguide.com/zh-TW/love/intj-enfp-compatibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/entj-istp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/enfp-entp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/career/why-estjs-arent-always-happy-perfect-careers,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/love/istj-esfp-compatibility,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,istj esfp,Informational,0
https://mbtitypeguide.com/ko/types/estj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/love/isfj-estp-compatibility,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,estp isfj,Informational,0
https://mbtitypeguide.com/en/compatibility,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,mbti compatibility chart,Informational,0
https://mbtitypeguide.com/ko/compatibility/infj-intp,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ar/compatibility/enfj-enfp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/estj-intj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/intp-intp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/enfp-enfp,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,mbti enfp,Informational,0
https://mbtitypeguide.com/ko/compatibility/entp-isfp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/entj-entp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/love/istp-esfj-compatibility,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/esfp-isfj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/istp-istp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ja/love/infj-entp-compatibility,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ar/compatibility/estp-isfj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/entp-estp,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,estp entp,Informational,0
https://mbtitypeguide.com/ko/love/infp-entj-unlikely-power-couple-counselor-guide,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/compatibility/esfp-intj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,,,,0
https://mbtitypeguide.com/ja/compatibility/entp-infj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://mbtitypeguide.com/ko/types/infp,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,,mbti 중재자,Informational,0
