Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
jyotish veda,Informational,44,14800,"0.54,0.66,0.00,0.05,0.44,0.66,0.81,1.00,0.81,0.66,0.81,0.81",30,0.89,0.08,"AI Overview, Video, Video carousel, Related searches"
time between dates dating,Informational,39,14800,"0.67,0.30,0.00,0.04,0.54,0.67,0.67,0.83,0.54,0.83,1.00,0.83",28,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
1988 chinese zodiac,Informational,33,12100,"0.24,0.19,0.24,0.24,0.29,0.24,0.24,0.44,0.54,1.00,0.29,0.24",33,0.00,0.33,"AI Overview, Reviews, Image, Video, Video carousel, Short videos, People also ask, Related searches"
aries scorpio couples,Informational,40,12100,"0.66,0.81,0.00,1.00,0.54,0.81,0.00,0.81,0.81,0.66,1.00,0.81",24,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
14 june sun sign,Informational,29,9900,"0.81,0.81,0.00,0.02,0.44,0.67,0.81,0.81,0.54,0.67,0.81,1.00",33,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
leo and scorpio compatibility,Informational,47,9900,"0.81,0.81,0.81,0.81,1.00,0.67,1.00,0.67,0.54,0.67,0.67,1.00",20,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
leo scorpio compatibility relationship,Informational,47,9900,"0.81,1.00,0.00,0.10,0.67,1.00,0.23,1.00,1.00,0.00,0.81,1.00",30,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
star sign 21 june,Informational,33,9900,"0.03,0.00,0.00,0.05,0.44,0.66,0.81,0.00,0.66,0.66,0.81,1.00",33,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
taurus gemini love compatibility,"Informational, Commercial",45,9900,"0.81,1.00,0.00,0.09,0.54,0.81,0.67,0.81,0.54,0.67,0.81,1.00",28,0.04,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
test compatible,Informational,50,9900,"0.00,0.00,0.00,0.00,0.00,0.81,1.00,0.81,0.81,0.81,1.00,0.81",30,0.61,0.11,"AI Overview, Reviews, Video, Video carousel, Related searches"
what is a twin flame,Informational,35,9900,"0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.81,1.00,0.81,1.00,0.81",30,0.02,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches"
1981 chinese zodiac,Informational,32,8100,"0.29,0.24,0.29,0.24,0.24,0.24,0.29,0.44,0.66,1.00,0.44,0.24",32,0.00,0.33,"AI Overview, Reviews, Video, People also ask, Related searches"
22 january sun sign,Informational,35,8100,"0.54,0.54,0.00,0.02,0.36,0.54,0.66,0.66,1.00,0.54,0.36,0.54",26,0.00,0.33,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
aries and virgo compatibility,Informational,44,8100,"0.54,0.67,0.81,0.81,0.67,0.54,0.54,0.67,0.54,0.44,1.00,1.00",26,0.01,0.02,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Discussions and forums, Related searches"
leo and capricorn compatibility,Informational,46,8100,"0.82,0.82,1.00,1.00,0.82,0.55,0.55,0.82,0.82,1.00,0.66,1.00",19,0.13,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
pisces capricorn match,Informational,44,8100,"1.00,0.81,0.00,0.03,0.54,0.81,1.00,0.81,0.66,0.81,1.00,0.81",17,0.02,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
scorpio and capricorn compatibility,Informational,48,8100,"0.55,0.67,0.82,0.55,0.82,0.55,0.82,0.82,1.00,0.67,0.55,1.00",20,0.03,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
taurus and gemini compatibility,Informational,46,8100,"1.00,0.44,0.67,0.67,0.44,0.82,0.44,0.44,0.82,0.44,0.67,0.67",26,0.04,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches"
taurus and pisces compatibility,"Informational, Commercial",45,8100,"0.82,0.82,0.82,1.00,0.82,0.55,0.67,0.55,0.82,0.82,0.67,0.82",25,0.15,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
taurus and scorpio compatibility,Informational,47,8100,"1.00,0.82,1.00,0.82,1.00,0.66,0.82,0.66,0.82,0.82,0.82,1.00",33,0.02,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
year of the goat,Informational,30,8100,"0.20,0.23,0.23,0.20,0.20,0.30,0.36,0.44,1.00,1.00,0.44,0.44",28,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
1970 horoscope chinese,Informational,31,6600,"0.13,0.16,0.00,0.03,0.07,0.10,0.19,0.44,0.66,1.00,0.24,0.24",20,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
2020 chinese zodiac,Informational,36,6600,"0.16,0.16,0.19,0.16,0.13,0.16,0.16,0.29,0.44,0.81,1.00,0.36",33,0.00,0.33,"AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
cancer and leo compatibility,Informational,44,6600,"1.00,0.81,0.67,0.67,0.67,0.81,0.54,0.54,0.81,0.67,0.81,0.67",29,0.03,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
