Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
enneagram types,Informational,72,49500,"0.82,0.68,1.00,0.82,0.82,0.82,0.82,0.68,0.82,0.68,0.68,0.82",27,0.30,0.31,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
intj personality type,Informational,42,33100,"0.82,0.67,0.67,1.00,1.00,0.82,0.82,0.67,0.82,0.67,0.67,0.67",34,0.35,0.10,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
personality and types,Informational,41,22200,"0.44,0.36,0.00,0.02,0.25,0.30,0.44,0.81,0.81,0.54,1.00,0.67",33,0.47,0.20,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
enneagram 8,"Informational, Commercial",61,14800,"1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.81,0.81",21,0.39,0.07,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know"
enneagram 4,"Informational, Commercial",58,12100,"1.00,0.67,0.67,0.67,0.81,1.00,0.67,0.54,0.67,0.54,0.81,0.67",26,0.41,0.05,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know"
enneagram 9,Informational,65,12100,"0.81,0.81,0.81,1.00,0.67,1.00,1.00,0.81,0.81,0.81,0.67,0.67",23,0.26,0.07,"Sitelinks, AI Overview, Video, People also ask, Related searches"
entp personality type,Informational,44,12100,"1.00,1.00,1.00,1.00,0.81,0.67,0.81,0.67,0.54,0.81,0.67,0.81",33,0.31,0.06,"AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches"
personality database,Navigational,36,12100,"0.62,0.54,0.77,0.77,0.62,0.54,0.62,0.54,1.00,0.62,0.62,0.54",33,1.36,0.33,"Sitelinks, Reviews, Image pack, Related searches"
enneagram 5,Informational,61,9900,"0.82,0.66,1.00,1.00,0.66,0.82,0.82,0.66,0.82,0.66,0.66,0.82",29,0.23,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
enneagram 6,"Informational, Commercial",60,9900,"0.82,0.66,1.00,0.82,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",29,0.24,0.03,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Things to know"
enneagram 7,Informational,58,9900,"1.00,0.66,0.82,0.82,1.00,0.82,0.66,0.82,0.82,0.66,0.66,1.00",22,0.33,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
2 enneagram personality,Informational,63,8100,"1.00,1.00,0.00,0.09,0.67,1.00,0.81,0.81,0.35,0.81,1.00,0.81",30,0.50,0.03,"AI Overview, Image pack, Video, People also ask, Related searches"
enneagram 1,"Informational, Commercial",66,8100,"1.00,1.00,1.00,1.00,0.66,0.82,1.00,0.66,1.00,1.00,1.00,0.66",29,0.35,0.05,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
enneagram 2,"Informational, Commercial",64,8100,"1.00,0.82,0.66,0.55,0.82,0.82,0.82,0.66,0.82,0.55,0.55,0.66",28,0.50,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Things to know"
enneagram 3,Informational,71,8100,"1.00,0.81,0.81,0.67,0.44,0.67,0.81,0.53,0.67,0.53,0.81,0.67",22,0.32,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
infp characters,Informational,39,8100,"1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82",26,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
enfp characters,Informational,41,5400,"0.67,0.81,0.81,1.00,0.81,0.81,0.81,0.67,1.00,0.81,1.00,0.81",25,0.00,0.33,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
enneagame,Commercial,55,5400,"0.08,0.00,0.00,0.03,0.44,0.00,0.00,0.00,1.00,0.00,0.01,0.01",25,0.76,0.46,"Sitelinks, Reviews, Image, Video, Related searches"
enneagram personality 6,Informational,64,5400,"0.01,0.03,0.00,0.10,0.01,1.00,0.03,0.01,1.00,0.81,0.81,1.00",30,0.24,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
16 personality,Navigational,41,4400,"0.42,0.54,1.00,0.54,0.79,0.29,0.42,0.29,0.54,0.67,0.67,0.33",31,0.15,0.24,"Sitelinks, Reviews, Image pack, Video, Related searches"
