Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
mbti 相性,Commercial,135000,"1.00,1.00,1.00,0.82,0.67,0.67,0.55,0.55,0.67,0.67,0.67,0.67",18,0.18,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
エンターテイナー mbti,Informational,110000,"1.00,1.00,1.00,1.00,1.00,0.81,0.67,0.67,0.55,0.67,0.67,0.67",32,0.19,0.33,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
主人公 mbti,Informational,110000,"1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.30,0.81,0.81",31,0.14,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
領事館 mbti,Informational,110000,"0.81,1.00,1.00,1.00,0.81,0.81,0.67,0.67,0.81,0.81,0.67,0.55",21,0.59,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti診断 無料,Informational,90500,"0.55,1.00,0.81,1.00,0.67,0.55,0.55,0.45,0.55,0.55,0.67,0.67",33,0.31,0.49,"AI Overview, Video, People also ask, Related searches"
冒険家 mbti,Informational,90500,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.82,1.00,1.00,0.82",32,0.32,0.33,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
運動家 mbti,Informational,74000,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.82,1.00,1.00,0.82",30,0.19,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
仲介者 mbti,Informational,60500,"1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,1.00,0.82",29,0.44,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
擁護者 mbti,Informational,60500,"0.82,1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.82,0.82,0.82",20,0.18,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 恋愛,Informational,49500,"0.01,0.01,1.00,0.67,0.20,0.20,0.13,0.07,0.07,0.06,0.06,0.05",31,0.50,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 主人公,Informational,40500,"0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.82,1.00,0.82",26,0.19,0.33,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
建築家 mbti,Informational,40500,"0.55,0.55,0.55,0.55,0.55,0.55,0.45,0.45,0.45,0.67,1.00,0.82",33,0.18,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
