Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
mbti,Informational,165000,"0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.67,0.82,1.00,0.82,0.67",27,0.15,0.22,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
엠비 티아이 검사,Informational,27100,"1.00,0.82,0.30,0.45,0.55,1.00,1.00,0.82,1.00,1.00,1.00,0.82",31,0.06,0.27,"Reviews, Image pack, Video, Video carousel, Related searches"
mbti 궁합,Informational,22200,"1.00,1.00,0.82,1.00,0.82,0.82,0.82,0.67,0.67,0.82,0.67,0.67",15,0.36,0.33,"Image pack, Video, Video carousel, Related searches"
엠비 티아이,Informational,22200,"0.67,0.82,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.67",29,0.07,0.12,"AI Overview, Reviews, Image pack, Video, Related searches"
심리 테스트,Informational,18100,"1.00,0.82,0.67,0.82,0.82,0.82,0.82,0.67,0.67,0.82,0.67,0.67",33,0.28,0.07,"AI Overview, Image pack, Video, Video carousel, Related searches"
성향 테스트,Informational,9900,"1.00,1.00,1.00,0.82,0.67,0.82,0.82,0.82,0.67,0.67,0.82,0.82",26,0.07,0.04,"AI Overview, Video, Related searches"
mbti tf,Informational,3600,"0.01,0.05,0.09,0.11,0.11,0.13,0.16,0.20,0.36,0.82,1.00,1.00",17,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 궁합 표,Informational,2400,"1.00,1.00,0.79,1.00,0.79,0.79,0.79,0.67,0.79,0.79,0.79,0.67",12,0.00,0.33,"Image pack, Video, Video carousel, People also ask, Related searches"
mbti 뜻,Informational,1900,"0.67,0.67,0.67,0.67,0.79,0.79,0.79,0.67,0.79,0.79,1.00,0.67",24,0.05,0.05,"AI Overview, Image pack, Video, People also ask, Related searches"
심리 검사,Informational,1900,"1.00,0.79,0.79,0.67,1.00,1.00,1.00,0.79,0.67,0.67,0.67,0.79",15,1.89,0.24,"AI Overview, Video, Related searches"
어세 스타,Navigational,1900,"0.53,0.44,0.67,0.44,0.53,0.44,0.44,0.36,0.67,0.67,0.44,1.00",30,0.99,0.01,"Sitelinks, Video, Knowledge panel, Related searches"
엠비 티아이 테스트,Informational,1900,"0.83,1.00,1.00,0.66,0.55,0.83,0.66,0.66,0.45,0.66,0.55,0.83",30,0.07,0.25,"Reviews, Image pack, Video, Video carousel, Related searches"
mbti t,Informational,1600,"0.36,0.36,0.36,0.36,0.36,0.44,0.44,0.36,0.53,0.81,1.00,0.81",27,0.00,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
nbti,Informational,1600,"0.84,0.84,0.84,0.84,0.84,1.00,1.00,0.84,1.00,1.00,1.00,0.84",10,0.03,0.15,"Video, Related searches"
mbti n,Informational,1300,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81",22,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti s,Informational,1300,"1.00,1.00,0.77,0.77,0.77,0.77,0.77,0.77,1.00,1.00,1.00,0.77",22,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
mbti 갤러리,Informational,1300,"0.62,0.55,0.45,0.81,0.62,0.62,1.00,0.81,1.00,1.00,0.62,0.62",25,0.00,0.33,Related searches
mbti 무료,Informational,1300,"0.68,0.84,0.84,1.00,0.84,0.84,0.68,0.46,0.53,0.68,0.46,0.53",25,0.09,0.21,"Video, Related searches"
mbti 성격 유형,Informational,1300,"0.53,0.46,0.53,0.68,0.84,1.00,0.84,0.68,1.00,1.00,0.84,0.68",30,0.05,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 종류,Informational,1300,"0.81,0.81,0.81,0.81,0.81,0.81,0.62,0.81,0.81,0.81,1.00,0.30",21,0.11,0.03,"AI Overview, Image, Image pack, Video, Related searches"
mbti 짤,Informational,1300,"0.42,0.42,0.42,0.54,1.00,0.79,0.54,0.54,0.54,0.42,0.42,0.42",18,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
mbti 캐릭터,Informational,1300,"0.81,0.81,0.81,0.62,0.62,0.81,0.62,0.55,1.00,0.81,0.81,0.62",26,0.00,0.33,"Image, Image pack, Video, People also ask, Related searches"
mbti 특징,Informational,1300,"0.81,0.81,0.62,0.81,0.81,1.00,0.62,0.55,1.00,1.00,0.81,0.62",15,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
무료 mbti,Commercial,1300,"0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.62,0.81,0.81,0.81,1.00",28,0.09,0.27,"Reviews, Video, Related searches"
이재명 mbti,Informational,1300,"1.00,0.68,0.68,0.77,0.68,0.68,0.77,0.77,0.77,0.77,0.68,0.68",23,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
테스트 모음,Informational,1300,"1.00,1.00,0.68,0.68,0.68,0.53,0.53,0.53,0.46,0.53,0.53,0.53",28,0.07,0.02,"Image pack, Video, Related searches"
mbti ft,Informational,1000,"0.01,0.05,0.09,0.09,0.11,0.13,0.24,0.28,0.44,0.81,1.00,0.81",27,0.00,0.33,"Image pack, Video, Video carousel, People also ask, Related searches"
성격 검사,Informational,1000,"0.81,0.62,0.62,0.62,0.62,0.81,0.62,0.55,0.81,1.00,1.00,0.81",21,0.14,0.15,"Image pack, Video, Video carousel, Related searches"
성향 검사,Informational,1000,"0.68,0.68,0.68,1.00,1.00,0.77,1.00,0.77,1.00,0.77,0.68,0.68",29,0.13,0.04,"Video, Related searches"
mbti j,Informational,880,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,0.82",22,0.00,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti p,Informational,880,"1.00,1.00,1.00,0.82,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.82",27,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 별 특징,Informational,880,"0.72,0.72,0.59,0.88,0.88,0.88,0.88,0.72,0.88,1.00,1.00,0.88",19,0.00,0.33,"Image pack, Video, Related searches"
mbti 순위,Informational,880,"0.68,0.55,0.55,0.68,0.68,0.77,0.77,0.68,0.77,1.00,1.00,0.77",20,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
mpti,Informational,880,"0.88,0.88,0.88,0.88,0.88,1.00,0.88,0.59,1.00,0.88,0.88,0.72",31,0.07,0.24,"Reviews, Image pack, Video, People also ask, Related searches, Ads bottom"
타임스 mbti,Informational,880,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",14,0.00,0.00,"AI Overview, Reviews, Video"
mbti f,Informational,720,"0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.68,0.77,1.00,0.77",21,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti 비율,Informational,720,"0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,1.00,1.00,1.00,0.67",17,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
mbti 정식 검사,Informational,720,"1.00,0.72,0.72,0.72,0.48,0.72,0.72,0.59,0.59,0.72,0.72,0.72",25,0.27,0.31,"AI Overview, Reviews, Image pack, Video, Video carousel, Related searches"
mbti 팩폭,Informational,720,"1.00,0.82,0.82,1.00,0.82,1.00,0.82,0.67,0.82,0.82,0.82,0.67",23,0.00,0.33,"Image pack, Video, Related searches"
성격 유형,Informational,720,"0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.67,1.00,1.00,1.00,0.82",29,0.05,0.04,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti meaning,Informational,590,"1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.67,1.00,1.00,1.00,1.00",31,0.24,0.08,"AI Overview, Video, Video carousel, People also ask, Related searches"
mbti test korean,Informational,590,"1.00,0.82,0.82,0.82,0.55,0.55,0.55,0.44,0.55,0.44,0.36,0.36",28,0.19,0.53,"Reviews, Video, Related searches"
mbti тест,Informational,590,"1.00,0.82,0.82,0.67,0.67,0.67,0.82,0.67,0.82,0.82,0.67,0.54",23,0.16,0.22,"Image pack, Video, People also ask, Related searches"
mbti 설명,Informational,590,"0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.67,1.00,1.00,1.00,0.82",21,0.08,0.01,"Image pack, Video, Video carousel, People also ask, Related searches"
mdti,Informational,590,"1.00,1.00,0.81,0.81,1.00,1.00,0.81,0.66,1.00,1.00,1.00,0.66",27,0.03,0.09,"Image, Image pack, Video, Video carousel, Related searches"
