Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (TWD),Competitive Density,SERP Features
i人 e人,Informational,27100,"0.16,0.30,0.55,0.67,0.67,0.82,1.00,0.82,0.55,0.55,0.55,0.45",34,1.29,0.25,"Sitelinks, AI Overview, Video, Related searches"
mbti 測驗,Informational,14800,"0.67,0.67,0.67,0.67,0.67,1.00,0.55,0.67,0.67,0.67,0.55,0.55",32,7.11,0.42,"AI Overview, Video, Video carousel, Related searches"
f 人,Informational,3600,"0.66,0.82,0.66,0.82,0.82,0.82,1.00,0.66,0.82,0.55,0.55,0.55",21,0.00,0.01,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
人格 特質 測驗,Informational,2900,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.83,1.00",34,5.17,0.56,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mbti 64,Commercial,1900,"0.82,0.13,0.20,0.13,0.13,1.00,0.20,0.66,0.43,1.00,0.43,0.23",30,13.57,0.28,"AI Overview, Image pack, Video, People also ask, Related searches, Ads middle"
主人公 mbti,Informational,1900,"0.45,0.45,0.66,0.66,1.00,1.00,0.66,0.66,0.66,0.45,0.66,0.66",26,0.00,0.00,"Video, People also ask, Related searches"
64型人格,Informational,1600,"1.00,0.11,0.11,0.09,0.09,0.44,0.09,0.44,0.30,0.44,0.30,0.11",31,12.92,0.31,"AI Overview, Video, Related searches, Ads bottom"
nbti,Informational,1600,"1.00,1.00,1.00,1.00,0.84,0.84,0.68,0.68,0.68,0.84,0.68,0.84",27,4.20,0.20,"Reviews, Image pack, Video, People also ask, Related searches"
e人是什麼,Informational,1300,"0.00,0.00,0.24,0.20,0.04,0.07,0.28,0.13,0.36,0.53,1.00,1.00",31,0.32,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti 主人公,Informational,1300,"0.53,0.53,0.68,0.84,1.00,1.00,0.68,0.68,0.53,0.46,0.46,0.38",33,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
mbti 人格 測驗,Informational,1300,"0.45,0.30,0.30,0.45,0.55,1.00,0.45,0.55,0.34,0.55,0.34,0.55",31,5.49,0.41,"Sitelinks, Reviews, Image pack, Video, Related searches"
個人 特質,Informational,1300,"0.30,0.37,0.54,0.37,0.37,0.37,0.30,0.20,0.79,1.00,0.79,0.42",21,9.37,0.07,"AI Overview, Image pack, Video, People also ask, Related searches"
執政官 mbti,Informational,1300,"0.68,0.53,0.68,0.84,1.00,0.84,0.53,0.84,0.53,0.46,0.38,0.46",32,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
每 個,Informational,1300,"0.62,0.62,0.81,1.00,1.00,0.81,0.62,0.62,1.00,1.00,1.00,1.00",23,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
特質,Informational,1300,"0.42,0.42,1.00,0.67,0.67,0.54,0.42,0.30,0.67,0.54,0.67,0.42",25,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti 比例,Informational,1000,"0.42,0.54,0.42,0.42,0.30,1.00,0.30,0.42,0.30,0.30,0.25,0.16",32,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
s 人,Informational,1000,"0.25,0.25,0.30,0.30,0.30,1.00,0.34,0.30,0.30,0.25,0.25,0.20",29,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
seventeen mbti,Informational,880,"1.00,1.00,0.77,0.55,0.45,0.45,0.55,0.77,0.77,0.55,0.68,0.77",22,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
企業家 mbti,Informational,880,"0.30,0.24,0.24,0.30,0.37,0.37,0.45,0.55,0.81,1.00,0.55,0.81",26,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
mbti 探險家,Informational,720,"0.48,0.59,0.59,0.72,0.72,0.88,1.00,1.00,0.88,1.00,0.72,0.72",32,0.00,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches"
t人意思,Informational,720,"0.00,0.00,0.00,0.00,0.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81",32,0.00,0.00,"AI Overview, Video, Short videos, People also ask, Related searches"
免費 心理 測驗,Informational,720,"0.72,0.72,0.59,0.59,0.72,0.72,0.72,0.59,1.00,0.72,0.59,0.59",25,3.55,0.22,"Video, People also ask, Related searches"
心理 測驗 人格,Informational,720,"0.82,0.82,0.82,0.67,0.82,0.82,0.82,0.55,1.00,0.82,0.67,0.55",32,2.58,0.19,"AI Overview, Video, Video carousel, People also ask, Related searches"
mbti n,Informational,590,"0.82,0.82,0.82,0.67,0.67,1.00,0.67,0.55,0.67,0.55,0.82,0.44",29,0.00,0.33,"Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
mbti 配對,Informational,590,"1.00,0.82,0.82,0.82,0.67,0.82,0.44,0.55,0.44,0.44,0.36,0.36",28,0.00,0.33,"Image pack, Video, People also ask, Related searches"
t 型 人格,Informational,590,"1.00,0.81,0.81,0.81,0.66,0.54,0.66,0.66,0.54,0.54,1.00,0.44",34,5.17,0.05,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
人格 特質 有 哪些,Informational,590,"0.44,0.55,0.82,0.67,0.67,0.67,0.55,0.55,1.00,0.82,0.82,0.67",34,4.85,0.07,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
人格 特質 表,Informational,590,"0.82,0.67,1.00,0.82,0.67,0.67,0.44,0.36,0.67,0.54,0.54,0.36",30,4.52,0.04,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
指揮官 mbti,Informational,590,"0.17,0.21,0.26,0.32,0.32,0.48,0.72,1.00,0.72,1.00,1.00,0.59",28,0.00,0.00,"AI Overview, Video, People also ask, Related searches"
特質 有 哪些,Informational,590,"0.44,0.44,1.00,0.67,0.67,0.67,0.44,0.30,1.00,0.55,0.67,0.55",20,0.00,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
16 型 人格 比例,Informational,480,"0.67,0.54,0.54,0.54,0.44,1.00,0.36,0.67,0.44,0.36,0.29,0.24",30,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
