Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
悪口 診断,Navigational,201000,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,1.00,0.37",26,0.40,0.33,"Sitelinks, Video, Related searches"
mbti診断 無料,Informational,90500,"0.55,1.00,0.81,1.00,0.67,0.55,0.55,0.45,0.55,0.55,0.67,0.67",33,0.31,0.49,"AI Overview, Video, People also ask, Related searches"
心理 検査,Informational,40500,"0.04,0.05,0.06,0.05,0.37,0.45,0.45,0.67,0.67,0.45,0.25,1.00",13,0.32,0.00,"AI Overview, Image, Video, Related searches"
mbti とは,Informational,33100,"0.67,0.67,0.67,0.67,0.55,0.55,0.55,0.45,0.55,0.55,1.00,0.67",22,0.34,0.19,"AI Overview, Video, People also ask, Related searches"
性格,Informational,33100,"0.45,1.00,0.82,0.55,0.55,0.55,0.55,0.45,0.45,0.67,0.67,0.45",34,0.41,0.02,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
性格キャラクターテスト,Informational,27100,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",21,0.36,0.00,"AI Overview, Video, Related searches"
暇つぶし 診断,Commercial,22200,"0.67,0.67,0.67,0.67,0.55,0.82,0.82,0.82,0.82,0.55,1.00,1.00",34,0.13,0.04,"Video, Related searches"
診断 面白い,Commercial,22200,"0.55,0.45,0.55,0.67,0.55,0.55,0.55,0.55,0.55,0.45,1.00,0.82",31,0.19,0.03,"Video, People also ask, Related searches"
nbti,Informational,18100,"1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.82",34,0.21,0.19,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
心理 機能 診断,Informational,18100,"1.00,0.67,0.55,0.55,0.55,0.45,0.45,0.45,0.45,0.37,0.45,0.55",13,0.32,0.08,"Video, Related searches"
雰囲気 診断,Informational,18100,"0.25,1.00,0.16,0.11,0.06,0.03,0.02,0.01,0.01,0.01,0.02,0.01",20,0.41,0.01,"Image pack, Video, Related searches"
mbti 割合,Informational,12100,"0.82,1.00,1.00,0.82,0.82,0.82,0.67,0.55,0.67,0.82,1.00,0.67",20,0.00,0.33,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
mbti診断 無料 安全,Informational,12100,"1.00,1.00,1.00,0.82,0.55,0.55,0.55,0.55,0.55,0.36,0.45,0.36",30,0.28,0.34,"AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom"
mbti診断 無料 おすすめ,Informational,9900,"0.55,1.00,1.00,0.67,0.45,0.45,0.45,0.36,0.67,0.55,0.55,0.45",30,0.29,0.44,"AI Overview, Reviews, Video, People also ask, Related searches"
16 タイプ,Informational,8100,"0.36,0.45,1.00,1.00,0.55,0.67,0.67,0.55,0.55,0.67,0.67,0.55",34,0.38,0.11,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mbti 無料,Informational,8100,"0.24,0.30,0.30,0.30,0.24,0.30,0.30,0.55,0.55,0.45,1.00,0.55",31,0.34,0.53,"Reviews, Video, People also ask, Related searches"
エゴグラム 診断,Informational,8100,"0.82,0.67,0.67,1.00,0.82,0.67,0.55,0.55,0.55,1.00,0.82,0.82",19,0.35,0.11,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
ペルソナ 診断,Commercial,8100,"1.00,0.82,0.67,0.55,0.55,0.45,0.45,0.55,0.55,0.36,0.55,0.67",20,0.20,0.04,"Sitelinks, Image pack, People also ask, Related searches"
性格悪い診断,Commercial,8100,"0.04,0.04,0.05,0.06,0.05,0.04,0.04,0.04,0.04,0.03,1.00,0.55",23,0.11,0.03,"Video, Related searches"
infp 診断,Informational,6600,"0.81,0.81,0.81,1.00,0.81,0.81,0.67,0.67,0.81,0.81,0.81,0.81",28,0.21,0.36,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbit,Informational,6600,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.67,0.81,0.81,0.81,0.81",32,0.37,0.20,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
mbti 特徴,Informational,6600,"1.00,1.00,1.00,0.81,0.81,0.81,0.67,0.67,0.81,0.81,0.81,0.44",26,0.35,0.33,"Image pack, Video, People also ask, Related searches"
mbti 解説,Informational,6600,"0.82,0.82,1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00",27,0.43,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti診断 どれがいい,Informational,6600,"0.45,0.67,0.67,0.30,0.24,0.24,0.20,0.30,0.24,0.55,1.00,0.67",34,0.39,0.26,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ビジネス人格診断,Informational,6600,"0.00,0.00,0.00,0.00,0.00,1.00,0.37,0.16,0.04,0.02,0.04,0.01",16,0.30,0.08,"AI Overview, Related searches"
ビッグ ファイブ 診断,Informational,6600,"0.81,0.67,0.67,1.00,0.81,0.54,0.54,0.54,0.81,0.67,0.81,0.67",22,0.29,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Ads middle"
動物 性格 診断,Informational,6600,"0.13,0.13,1.00,0.20,0.13,0.20,0.20,0.11,0.11,0.11,0.13,0.13",26,0.56,0.01,"Reviews, Video, Related searches"
