Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
mbti 궁합,Informational,22200,"1.00,1.00,0.82,1.00,0.82,0.82,0.82,0.67,0.67,0.82,0.67,0.67",15,0.36,0.33,"Image pack, Video, Video carousel, Related searches"
이름 궁합,Commercial,18100,"0.82,0.55,0.82,0.67,0.82,0.82,0.55,0.45,0.67,1.00,1.00,1.00",16,0.45,0.01,"Reviews, Image pack, Video, Related searches"
사주 궁합,Commercial,5400,"0.82,0.82,0.82,0.82,0.82,1.00,1.00,0.82,1.00,0.82,1.00,1.00",31,0.38,0.28,"Image pack, Video, Related searches"
이름 궁합 테스트,Commercial,4400,"1.00,0.67,1.00,1.00,1.00,0.67,0.35,0.30,0.35,0.44,0.67,0.54",20,0.25,0.01,"Reviews, Image pack, Video, Related searches"
무료 궁합,Informational,3600,"1.00,1.00,1.00,1.00,0.82,1.00,0.82,0.66,0.82,0.66,0.66,0.66",29,0.36,0.13,"AI Overview, Video, Related searches"
mbti 궁합 표,Informational,2400,"1.00,1.00,0.79,1.00,0.79,0.79,0.79,0.67,0.79,0.79,0.79,0.67",12,0.00,0.33,"Image pack, Video, Video carousel, People also ask, Related searches"
궁합 테스트,Informational,2400,"1.00,0.67,0.81,0.67,0.81,0.44,0.36,0.36,0.36,0.36,0.53,0.44",15,0.38,0.06,"Reviews, Image pack, Video, Related searches"
궁합 사주,Informational,1600,"0.30,0.42,0.42,0.67,0.67,1.00,1.00,0.79,0.79,0.79,0.67,0.54",24,0.52,0.34,"Video, Video carousel, Related searches"
무료 궁합 소름,Informational,1600,"1.00,0.84,0.84,0.53,0.68,0.84,0.68,0.53,0.53,0.38,0.53,0.53",27,0.26,0.14,"People also ask, Related searches"
infj 궁합,Informational,1300,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.55,0.62,0.62,0.62,0.55",19,0.00,0.33,"Image pack, Video, Video carousel, Related searches"
infp 궁합,Informational,1300,"1.00,1.00,0.77,1.00,0.77,0.77,0.77,0.68,0.77,0.77,0.68,0.68",17,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
intj 궁합,Informational,1300,"1.00,0.77,0.77,1.00,1.00,1.00,0.77,0.77,1.00,1.00,0.77,0.68",27,0.00,0.33,"Image pack, Video, People also ask, Related searches"
intp 궁합,Informational,1300,"1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.62,0.81,0.81,0.81,0.62",27,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
isfp 궁합,Informational,1300,"0.81,0.62,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.62",25,0.00,0.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
istp 궁합,Informational,1300,"1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.62,0.81,0.62,0.81,0.55",19,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
띠 궁합,Informational,1300,"0.81,0.81,0.62,0.62,0.62,0.81,1.00,0.62,0.55,0.55,0.62,0.55",15,0.00,0.33,"Image pack, Video, Video carousel, Short videos, Related searches"
entp 궁합,Informational,1000,"1.00,1.00,0.88,0.88,0.88,1.00,0.88,0.72,1.00,0.88,0.88,0.72",27,0.00,0.33,"Image pack, Video, Video carousel, People also ask, Related searches"
