Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
포켓몬 성격,Informational,27100,"0.45,1.00,0.82,0.82,0.55,0.55,0.55,0.67,0.82,0.20,0.37,0.30",26,0.00,0.33,"Image pack, Video, Related searches"
성격,Informational,5400,"0.54,0.81,0.67,0.67,0.54,0.67,0.67,1.00,0.81,0.81,0.81,0.67",31,0.31,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
성격 키워드,Informational,4400,"1.00,0.81,0.67,0.67,0.67,0.67,0.81,0.81,0.67,0.67,0.81,0.67",16,0.00,0.33,"Reviews, Image pack, Video, Related searches"
포켓몬 성격 표,Informational,2900,"0.55,1.00,0.55,0.44,0.24,0.29,0.44,0.55,0.67,0.44,0.44,0.44",21,0.00,0.33,"AI Overview, Image, Image pack, Video, Related searches"
경계선 성격 장애,Informational,2400,"0.83,1.00,0.83,0.83,0.83,0.83,0.83,0.66,0.83,0.83,0.83,0.83",31,1.53,0.01,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
혈액형 성격,Informational,2400,"0.67,1.00,0.81,0.67,0.67,0.67,0.67,0.53,0.53,0.53,0.67,0.67",22,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
자기애 성 성격 장애,Informational,1900,"0.66,0.66,0.66,0.66,0.83,0.83,1.00,0.83,0.66,0.66,0.66,0.66",24,2.09,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
회피 성 성격 장애,Informational,1900,"0.79,0.79,1.00,1.00,1.00,0.79,0.67,0.54,0.54,0.67,0.54,0.54",14,8.83,0.05,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
성격 종류,Informational,1600,"0.54,0.54,0.54,0.67,0.54,0.54,0.67,0.54,1.00,0.79,0.67,0.67",24,0.00,0.33,"Image pack, Video, Video carousel, People also ask, Related searches"
체스 성격 검사,"Informational, Transactional",1600,"0.00,0.00,0.00,1.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00",25,0.00,0.01,"Image pack, Video, Video carousel, Related searches"
