Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
mbti,Informational,165000,"0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.67,0.82,1.00,0.82,0.67",27,0.15,0.22,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
반응 속도 테스트,Commercial,135000,"1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.67,0.67,0.55,0.55,0.55",32,1.00,0.33,"Reviews, Related searches"
엠비 티아이 검사,Informational,27100,"1.00,0.82,0.30,0.45,0.55,1.00,1.00,0.82,1.00,1.00,1.00,0.82",31,0.06,0.27,"Reviews, Image pack, Video, Video carousel, Related searches"
bdsm 테스트,Informational,22200,"0.82,0.82,0.82,1.00,0.82,0.82,1.00,1.00,0.82,0.55,0.45,0.55",17,0.24,0.33,Video
엠비 티아이,Informational,22200,"0.67,0.82,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.67",29,0.07,0.12,"AI Overview, Reviews, Image pack, Video, Related searches"
키보드 테스트,Informational,22200,"1.00,0.82,0.67,0.67,0.67,0.82,0.82,0.82,0.82,0.67,0.82,0.82",16,1.64,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
iq 테스트,Informational,18100,"1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.82,0.67,0.67",33,0.13,0.57,"AI Overview, Reviews, Video, Video carousel, Related searches"
마이,Informational,18100,"0.67,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00,0.82",31,0.00,0.33,"AI Overview, Reviews, Video, Related searches"
심리 테스트,Informational,18100,"1.00,0.82,0.67,0.82,0.82,0.82,0.82,0.67,0.67,0.82,0.67,0.67",33,0.28,0.07,"AI Overview, Image pack, Video, Video carousel, Related searches"
발음 테스트,Informational,14800,"0.67,0.67,0.67,0.67,0.82,1.00,0.82,0.67,0.82,0.82,0.82,0.82",28,0.67,0.33,"AI Overview, Image pack, Video, Related searches"
아이큐 테스트,Informational,14800,"1.00,0.82,0.82,0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82",31,0.09,0.49,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
우영우 테스트,Informational,14800,"0.00,0.06,0.04,0.00,0.06,0.06,0.02,0.00,0.03,0.02,1.00,0.20",14,0.00,0.00,"AI Overview, Video"
테스트 중,Informational,14800,"0.00,0.00,0.00,0.00,0.01,0.09,0.24,0.37,0.45,0.55,0.82,1.00",19,0.00,0.33,"AI Overview, Video, People also ask"
스마트 폰 중독 테스트 타자,Informational,12100,"0.00,0.00,0.00,0.00,0.01,0.11,0.30,0.45,0.67,0.82,1.00,1.00",13,0.00,0.33,"AI Overview, Video, Related searches"
핑 테스트,Commercial,12100,"0.24,0.30,0.24,0.37,1.00,0.55,0.37,0.45,0.37,0.24,0.24,0.24",27,0.00,0.33,"Reviews, Image pack, Video, Related searches"
